Название видеокарты,Видеопамять,Тип видеопамяти,Эффективная частота памяти,Пропускная способность памяти,Ширина шины памяти,Поддержка DirectX,Поддержка SLI/CrossFire,Разъёмы питания,Охлаждение,Количество вентиляторов,Длина видеокарты,Высота видеокарты,Базовая (референсная) частота графического процессора,Максимальная частота графического процессора,Количество потоковых процессоров,Количество RT-ядер,Рекомендуемый блок питания,Толщина системы охлаждения,Толщина видеокарты,Низкопрофильная (Low Profile),Функциональные особенности,Энергопотребление,Частота графического процессора,Частота памяти,Мощность блока питания,Turbo-частота графического процессора,Максимальное энергопотребление,Энергопортебление
Видеокарта Gigabyte GeForce RTX 3060 Gaming OC 12GB GDDR6 GV-N3060GAMING OC-12GD,12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,активное,3,282 мм,117 мм,,,,,,,,,,,,,,,,
Видеокарта Gigabyte GeForce RTX 3050 OC Low Profile 6G GV-N3050OC-6GL,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,181 мм,69 мм,1 040 МГц,1 477 МГц,2 304,18,300 Вт,2 слота,36 мм,Да,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта AFOX GeForce GT 1030 2GB GDDR5 AF1030-2048D5L7,2 ГБ,GDDR5,6 000 МГц,,64 бит,12,Нет,Нет,воздушное,1,,,1 227 МГц,1 468 МГц,384,,,1 слот,,Да,,,,,,,,
Видеокарта Gigabyte GeForce RTX 4070 Ti Windforce OC 12G GV-N407TWF3OC-12GD,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,Нет,16 pin,воздушное,3,261 мм,126 мм,2 310 МГц,2 625 МГц,7 680,60,750 Вт,2.2 слота,50 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 Gaming OC 8G (rev. 2.0) GV-N3060GAMING OC-8GD 2.0,8 ГБ,GDDR6,15 000 МГц,240 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,198 мм,121 мм,1 320 МГц,1 807 МГц,3 584,28,550 Вт,2 слота,39 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Palit GeForce RTX 3050 StormX NE63050018P1-1070F,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,6 pin,воздушное,1,162 мм,117 мм,1 550 МГц,1 777 МГц,2 560,20,550 Вт,2 слота,40 мм,Нет,"поддержка DLSS, поддержка FSR",115 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 OC Low Profile 8GB GV-N4060OC-8GL,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,3,182 мм,69 мм,1 830 МГц,2 475 МГц,3 072,24,450 Вт,2 слота,40 мм,Да,поддержка DLSS,,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 Windforce OC 12G GV-N3060WF2OC-12GD,12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,воздушное,2,198 мм,121 мм,1 320 МГц,1 792 МГц,3 584,28,550 Вт,2 слота,39 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта ASUS Phoenix GeForce RTX 3050 8GB PH-RTX3050-8G,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,активное,1,177 мм,128 мм,1 550 МГц,1 807 МГц,2 560,,550 Вт,2.5 слота,,Нет,,,,,,,,
Видеокарта Palit GeForce RTX 4080 GamingPro NED4080019T2-1032A,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,Нет,16 pin,воздушное,3,328.9 мм,132.9 мм,2 210 МГц,2 505 МГц,9 728,76,850 Вт,3 слота,63.4 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Ti Gaming OC 16G GV-N406TGAMING OC-16GD,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,3,281 мм,117 мм,2 310 МГц,2 595 МГц,4 352,34,500 Вт,2.3 слота,53 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Palit GeForce RTX 4070 Ti Super GamingPro OC 16GB NED47TSH19T2-1043A,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,,,2 340 МГц,,8 448,66,700 Вт,3.1 слота,,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 Windforce OC 12G GV-N3060WF2OC-12GD (rev. 2.0),12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,воздушное,2,198 мм,121 мм,1 320 МГц,1 792 МГц,3 584,28,550 Вт,,39 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Gigabyte GeForce RTX 4070 Ti Gaming OC V2 12G GV-N407TGAMING OCV2-12GD,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,300 мм,130 мм,2 310 МГц,2 640 МГц,7 680,60,750 Вт,3 слота,57.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Palit GeForce RTX 3050 StormX 6GB NE63050018JE-1070F,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,162 мм,117 мм,1 040 МГц,1 470 МГц,2 304,18,300 Вт,2 слота,40 мм,Нет,"поддержка DLSS, поддержка FSR",70 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Ti Gaming OC 8G GV-N406TGAMING OC-8GD,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,281 мм,117 мм,2 310 МГц,2 580 МГц,4 352,34,500 Вт,2 слота,53 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта ASUS Dual GeForce RTX 3060 OC Edition 8GB GDDR6 DUAL-RTX3060-O8G,8 ГБ,GDDR6,15 000 МГц,360 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,200 мм,123 мм,1 320 МГц,1 867 МГц (в режиме Boost),3 584,28,650 Вт,2 слота,38 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Eagle OC 8G GV-N4060EAGLE OC-8GD,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,272 мм,115 мм,1 830 МГц,2 505 МГц,3 072,24,450 Вт,2 слота,40 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Palit GeForce RTX 4070 Ti Super GamingPro 16GB NED47TS019T2-1043A,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,,,2 340 МГц,2 610 МГц,8 448,66,700 Вт,3.1 слота,,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Ti Eagle OC 8G GV-N406TEAGLE OC-8GD,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,272 мм,115 мм,2 310 МГц,2 550 МГц,4 352,34,500 Вт,2 слота,41 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта Palit GeForce RTX 4070 Super Dual OC 12GB NED407SS19K9-1043D,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,2,,,1 980 МГц,,7 168,56,550 Вт,2 слота,,Нет,поддержка DLSS,225 Вт,,,,,,
Видеокарта Palit GeForce RTX 4060 Ti Dual OC 8GB GDDR6 NE6406TT19P1-1060D,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,249.9 мм,123.5 мм,2 310 МГц,2 685 МГц,4 352,34,650 Вт,2 слота,40.1 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта Palit GeForce RTX 4060 StormX [NE64060019P1-1070F],8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,1,169.9 мм,123 мм,1 830 МГц,2 460 МГц,3 072,24,600 Вт,2 слота,38 мм,Нет,поддержка DLSS,115 Вт,,,,,,
Видеокарта Palit GeForce RTX 4070 Ti Super JetStream OC 16GB NED47TSS19T2-1043J,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,,воздушное,3,,,2 340 МГц,,8 448,66,700 Вт,3.1 слота,,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4060 Gaming OC 8G GV-N4060GAMING OC-8GD,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,281 мм,114 мм,1 830 МГц,2 550 МГц,3 072,24,450 Вт,2 слота,40 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта Palit GeForce RTX 4060 Dual OC [NE64060T19P1-1070D],8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,249.9 мм,123.5 мм,1 830 МГц,2 670 МГц,3 072,24,600 Вт,2 слота,40.2 мм,Нет,поддержка DLSS,130 Вт,,,,,,
Видеокарта Palit GeForce RTX 4060 Dual NE64060019P1-1070D,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,249.9 мм,123.5 мм,1 830 МГц,2 460 МГц,3 072,24,600 Вт,2 слота,40.2 мм,Нет,поддержка DLSS,115 Вт,,,,,,
Видеокарта Gigabyte GeForce GT 710 2GB GDDR5 GV-N710D5-2GIL,2 ГБ,GDDR5,,,64 бит,12,Нет,Нет,активное,1,145 мм,69 мм,,,192,,300 Вт,1 слот,,Да,,,954 МГц,1 252 МГц,,,,
Видеокарта MSI GeForce GT 710 2GB DDR3 [GT 710 2GD3H LP],2 Гб,DDR3,,,64 бит,12,Нет,Нет,,,146 мм,69 мм,,,192,,,,,Да,,,954 МГц,800 МГц,300 Вт,,,
Видеокарта MSI Radeon RX 550 Aero ITX OC 4GB GDDR5,4 Гб,GDDR5,,,128 бит,12,Нет,,активное,1,155 мм,112 мм,,,512,,,2 слота,,Нет,,,1 203 МГц,1 500 МГц,400 Вт,,,
Видеокарта ASUS Phoenix GeForce GTX 1650 OC edition 4GB GDDR5 PH-GTX1650-O4G,4 ГБ,GDDR5,,,128 бит,12,Нет,Нет,активное,1,190 мм,111 мм,,,896,,300 Вт,2 слота,,,,,1 485 МГц,2 000 МГц,,1 680 МГц (OC Mode - 1710 МГц),,
Видеокарта Palit GeForce GTX 1650 GP 4GB GDDR6 NE6165001BG1-1175A,4 ГБ,GDDR6,,,128 бит,12,Нет,6 pin,активное,2,170 мм,112 мм,,,896,,300 Вт,2 слота,,Нет,,,1 410 МГц,3 000 МГц,,1 590 МГц,,
Видеокарта Palit GeForce RTX 3080 GameRock OC 10GB GDDR6X NED3080H19IA-1020G,10 ГБ,GDDR6X,19 000 МГц,760 ГБ/с,320 бит,12,Нет,8+8+8 pin,активное,3,304 мм,136 мм,,,8 704,,850 Вт,2.7 слота,,,,,1 440 МГц,,,1 860 МГц,,
Видеокарта Palit GeForce GTX 1660 Super StormX OC 6GB GDDR6 NE6166SS18J9-161F,6 ГБ,GDDR6,,,192 бит,12,Нет,Да 8 pin,активное,1,168 мм,122 мм,,,1 408,,450 Вт,2 слота,,Нет,,,1 530 МГц,3 500 МГц,,1 830 МГц,,
Видеокарта Gigabyte GeForce GT 1030 OC 2GB [GV-N1030OC-2GI],2 Гб,GDDR5,,,64 бит,12,Нет,Нет,активное,1,167.7 мм,111.2 мм,,,,,,,,Нет,,,"1 265 МГц (Gaming Mode, OC Mode - 1290)",1 502 МГц,300 Вт,"1 518 МГц (Gaming Mode, OC Mode - 1544)",,
Видеокарта Gigabyte GeForce GTX 1650 OC Low Profile 4GB GDDR5 GV-N1650OC-4GL,4 ГБ,GDDR5,,,128 бит,12,Нет,Нет,активное,2,166.9 мм,69 мм,,,896,,300 Вт,2 слота,,Да,,,1 485 МГц,2 000 МГц,,1 695 МГц,,
Видеокарта Gigabyte GeForce GT 1030 Low Profile 2GB DDR4,2 Гб,DDR4,,,64 бит,12,Нет,Нет,активное,1,149.9 мм,68.9 мм,,,384,,,,,Да,,,"1 151 МГц (Gaming Mode, 1177 - OC Mode)",,,"1 379 МГц (Gaming Mode, 1417 - OC Mode)",,
Видеокарта Palit GeForce GTX 1660 Super GP 6GB GDDR6 NE6166S018J9-1160A-1,6 ГБ,GDDR6,14 000 МГц,336 ГБ/с,192 бит,12,Нет,8 pin,активное,2,235 мм,115 мм,1 530 МГц,1 785 МГц,1 408,,450 Вт,2 слота,,Нет,,,,,,,,
Видеокарта Gigabyte GeForce GT 1030 Low Profile 2GB [GV-N1030D5-2GL],2 Гб,GDDR5,,,64 бит,12,,,активное,1,149.9 мм,68.9 мм,,,,,,,,Да,,,1 227 МГц (Gaming mode),,300 Вт,1 506 МГц (в режиме GPU Boost),,
Видеокарта AFOX GeForce GT210 1GB DDR2 AF210-1024D2LG2-V7,1 ГБ,DDR2,,,64 бит,,Нет,,активное,1,,,,,,,,,,Да,,,589 МГц,,,,,
Видеокарта ASUS GeForce GT 1030 2GB GDDR5 [GT1030-SL-2G-BRK],2 Гб,GDDR5,,,64 бит,12,Нет,Нет,пассивное,,184 мм,111 мм,,,384,,,,,,,,"1 228 МГц (Gaming Mode, OC Mode - 1266)",1 502 МГц,,"1 468 МГц (Gaming Mode, OC Mode - 1506)",,
Видеокарта Palit GeForce GTX 1050 Ti StormX 4GB GDDR5 [NE5105T018G1-1070F],4 Гб,GDDR5,,,128 бит,12,Нет,,активное,1,168 мм,112 мм,,,768,,,2 слота,,Нет,,,1 290 МГц,1 750 МГц,300 Вт,1 392 МГц,,
Видеокарта Palit GeForce GTX 1660 Super StormX 6GB GDDR6 NE6166S018J9-161F,6 ГБ,GDDR6,,,192 бит,12,Нет,Да 8 pin,активное,1,168 мм,122 мм,,,1 408,,450 Вт,2 слота,,Нет,,,1 530 МГц,3 500 МГц,,1 785 МГц,,
Видеокарта Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G 4GB GDDR6,4 ГБ,GDDR6,,,128 бит,12,Нет,6 pin,активное,2,192 мм,112 мм,,,896,,300 Вт,2 слота,,,,,1 410 МГц,3 000 МГц,,1 710 МГц,,
Видеокарта Palit GeForce RTX 3060 Dual OC 12GB GDDR6 NE63060T19K9-190AD,12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,активное,2,245 мм,119 мм,1 320 МГц,1 837 МГц (OC Mode),3 584,,550 Вт,2 слота,,,,,,,,,,
Видеокарта Gigabyte GeForce GT 710 2GB GDDR5,2 Гб,GDDR5,,,64 бит,12,Нет,Нет,пассивное,,151 мм,69 мм,,,,,,2 слота,,Да,,,954 МГц,1 252 МГц,300 Вт,,,
Видеокарта Gigabyte GeForce GTX 1650 D6 OC 4G 4GB GDDR6,4 ГБ,GDDR6,,,128 бит,12,Нет,,активное,1,152 мм,114 мм,,,896,,300 Вт,2 слота,,,,,1 410 МГц,3 000 МГц,,1 635 МГц,,
Видеокарта Palit GeForce GT 1030 2GB DDR4,2 Гб,DDR4,,,64 бит,12,Нет,Нет,активное,1,135 мм,69 мм,,,384,,,1 слот,,,,,1 151 МГц,,300 Вт,1 379 МГц,,
Видеокарта ASUS Phoenix GeForce GT 1030 OC 2GB GDDR5 [PH-GT1030-O2G],2 Гб,GDDR5,,,64 бит,12,Нет,Нет,активное,1,184 мм,111 мм,,,384,,,,,,,,"1 252 МГц (Gaming Mode, OC Mode - 1278)",1 502 МГц,,"1 506 МГц (Gaming Mode, OC Mode - 1531)",,
Видеокарта ASUS GeForce GT 730 2GB GDDR5 [GT730-SL-2GD5-BRK],2 Гб,GDDR5,,,64 бит,,Нет,,пассивное,,165 мм,69 мм,,,384,,,,,Да,,,902 МГц,1 252 МГц,,,,
Видеокарта Gigabyte GeForce GT 710 2GB DDR3 [GV-N710D3-2GL],2 Гб,DDR3,,,64 бит,12,Нет,Нет,активное,1,144 мм,68 мм,,,192,,,,,Да,,,954 МГц,900 МГц,300 Вт,,,
Видеокарта Gigabyte GeForce RTX 2060 Super WindForce OC 8GB GDDR6 GV-N206SWF2OC-8GD,8 ГБ,GDDR6,,,256 бит,12,Нет,Да 8 pin,активное,2,265 мм,121 мм,,,2 176,,550 Вт,2 слота,,Нет,,,1 470 МГц,3 500 МГц,,1 680 МГц,,
Видеокарта ASUS GeForce GT 1030 2GB GDDR5,2 Гб,GDDR5,,,64 бит,12,Нет,Нет,активное,1,169 мм,69 мм,,,384,,,1 слот,,Да,,,"1 228 МГц (Gaming Mode, OC Mode - 1228)",1 502 МГц,,"1 468 МГц (Gaming Mode, OC Mode - 1506)",,
Видеокарта Inno3D GeForce GT 1030 0dB 2GB GDDR5 [N1030-1SDV-E5BL],2 Гб,GDDR5,,,64 бит,12,,,пассивное,,167 мм,55 мм,,,384,,,2 слота,,Да,,,1 227 МГц,1 500 МГц,300 Вт,1 468 МГц,,
Видеокарта NVIDIA RTX 6000 Ada Generation 48GB GDDR6 900-5G133-2550-000,48 ГБ,GDDR6,20 000 МГц,960 ГБ/с,384 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,1,266.7 мм,111.8 мм,915 МГц,2 505 МГц,18 176,142,,2 слота,,Нет,поддержка DLSS,300 Вт,,,,,,
Видеокарта ASUS TUF Gaming GeForce RTX 4070 Ti Super BTF White OC Edition 16GB GDDR6X TUF-RTX4070TIS-O16G-BTF-WHITE,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,305 мм,138 мм,2 340 МГц,2 670 МГц,8 448,66,750 Вт,3.25 слота,65 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта MSI GeForce RTX 4080 Super 16G Gaming Slim,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,322 мм,136 мм,2 295 МГц,2 565 МГц,10 240,80,850 Вт,3 слота,62 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта ASUS Dual GeForce RTX 4060 V2 OC Edition 8GB GDDR6 DUAL-RTX4060-O8G-V2,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,202.2 мм,120.3 мм,1 830 МГц,2 535 МГц,3 072,24,550 Вт,2 слота,40.1 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта ASRock Dual Radeon RX 7600 XT OC Edition 16GB GDDR6 DUAL-RX7600XT-O16G,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,227.2 мм,123.24 мм,1 980 МГц,2 801 МГц,2 048,32,600 Вт,2.5 слота,49.6 мм,Нет,поддержка FSR,,,,,,,
