Название видеокарты,Видеопамять,Тип видеопамяти,Эффективная частота памяти,Пропускная способность памяти,Ширина шины памяти,Поддержка DirectX,Поддержка SLI/CrossFire,Разъёмы питания,Охлаждение,Количество вентиляторов,Длина видеокарты,Высота видеокарты,Базовая (референсная) частота графического процессора,Максимальная частота графического процессора,Количество потоковых процессоров,Количество RT-ядер,Рекомендуемый блок питания,Толщина системы охлаждения,Толщина видеокарты,Низкопрофильная (Low Profile),Функциональные особенности,Энергопотребление,Частота графического процессора,Частота памяти,Мощность блока питания,Turbo-частота графического процессора,Максимальное энергопотребление,Энергопортебление
Видеокарта ASUS Dual GeForce RTX 4060 Ti V2 OC Edition 8GB GDDR6 DUAL-RTX4060TI-O8G-V2,8 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,202 мм,120 мм,2 310 МГц,2 595 МГц,4 352,34,650 Вт,2 слота,40.1 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта NVIDIA RTX A4000 16GB GDDR6 900-5G190-1700-000,16 ГБ,GDDR6,,448 ГБ/с,256 бит,12,,6 pin,воздушное,1,241 мм,,,,6 144,48,,1 слот,,,поддержка DLSS,,,,,,,
Видеокарта Inno3D RTX 4080 Super X3 OC N408S3-166XX-187049N,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,336 мм,145 мм,2 295 МГц,2 580 МГц,10 240,80,750 Вт,3 слота,60 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта AFOX GeForce GTX 1650 4GB GDDR6 AF1650-4096D6H1-V8,4 ГБ,GDDR6,12 000 МГц,128 ГБ/с,128 бит,12,,6 pin,воздушное,2,,,1 410 МГц,1 665 МГц,896,,300 Вт,2 слота,,Нет,поддержка FSR,,,,,,,
Видеокарта AFOX GeForce GTX 1050 Ti 4GB GDDR5 AF1050TI-4096D5H5-V4,4 ГБ,GDDR5,7 000 МГц,,128 бит,12,,Нет,воздушное,2,,,1 290 МГц,1 392 МГц,768,,300 Вт,2 слота,,Нет,поддержка FSR,,,,,,,
Видеокарта Gainward GeForce RTX 4060 Ti Ghost 8GB NE6406T019P1-1060B,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,249.9 мм,128.1 мм,2 310 МГц,2 535 МГц,4 352,34,650 Вт,2 слота,40.2 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта ZOTAC GeForce RTX 3050 Eco ZT-A30500K-10M,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,,6 pin,воздушное,2,222.3 мм,116.8 мм,1 550 МГц,1 777 МГц,2 560,20,450 Вт,2 слота,41.4 мм,Нет,"поддержка DLSS, поддержка FSR",115 Вт,,,,,,
Видеокарта Gainward GeForce RTX 4060 Ti Pegasus 8GB NE6406T019P1-1060E,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,1,169.9 мм,124.1 мм,2 310 МГц,2 535 МГц,4 352,34,650 Вт,2 слота,38.8 мм,Нет,поддержка DLSS,160 Вт,,,,,,
Видеокарта ASUS Dual GeForce RTX 4070 Super Evo 12GB GDDR6X DUAL-RTX4070S-12G-EVO,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,2,227.2 мм,123.24 мм,1 980 МГц,2 505 МГц,7 168,56,750 Вт,2.5 слота,49.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта ASUS Dual GeForce RTX 4060 Ti 16GB GDDR6 DUAL-RTX4060TI-16G,16 ГБ,GDDR6,18 000 МГц,288 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,227.2 мм,123.24 мм,2 310 МГц,2 535 МГц,4 352,34,650 Вт,2.5 слота,49.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта MSI GeForce RTX 4070 Super 12G Gaming X Slim White,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,307 мм,125 мм,1 980 МГц,2 655 МГц,7 168,56,650 Вт,2.1 слота,46 мм,Нет,поддержка DLSS,245 Вт,,,,,,
Видеокарта ZOTAC Gaming GeForce GTX 1650 AMP Core 4GB GDDR6 ZT-T16520J-10L,4 ГБ,GDDR6,12 000 МГц,128 ГБ/с,128 бит,12,Нет,6 pin,активное,2,162.4 мм,115.2 мм,,,896,,350 Вт,2 слота,,,,,1 485 МГц,,,1 725 МГц,,
Видеокарта ASRock Radeon RX 7900 GRE Challenger 16GB OC RX7900GRE CL 16GO,16 ГБ,GDDR6,18 000 МГц,576 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,2,269 мм,130 мм,1 287 МГц,2 293 МГц,5 120,80,750 Вт,2.55 слота,51 мм,Нет,поддержка FSR,,,,,,,
Видеокарта Gainward GeForce RTX 3050 Pegasus 6GB NE63050018JE-1070E,6 ГБ,GDDR6,14 000 МГц,168 ГБ/с,96 бит,12 Ultimate,,Нет,воздушное,2,162 мм,117 мм,1 040 МГц,1 470 МГц,2 304,18,300 Вт,2 слота,40 мм,Нет,"поддержка DLSS, поддержка FSR",70 Вт,,,,,,
Видеокарта Leadtek Quadro P620 2GB GDDR5,2 ГБ,GDDR5,,,128 бит,12,Нет,Нет,активное,1,,,,,512,,,1 слот,,Да,,,,,,,40 Вт,
Видеокарта ASRock Radeon RX 7900 GRE Steel Legend 16GB OC RX7900GRE SL 16GO,16 ГБ,GDDR6,18 000 МГц,576 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,3,304 мм,131 мм,1 287 МГц,2 333 МГц,5 120,80,800 Вт,2.8 слота,56 мм,Нет,поддержка FSR,,,,,,,
Видеокарта AFOX GeForce GTX 1650 4GB GDDR6 AF1650-4096D6H3-V4,4 ГБ,GDDR6,12 000 МГц,192 ГБ/с,128 бит,12,,,воздушное,2,,,1 410 МГц,1 590 МГц,896,,,2 слота,,,поддержка FSR,,,,,,,
Видеокарта MSI GeForce RTX 4060 Aero ITX 8G OC,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,1,167 мм,111 мм,1 830 МГц,2 505 МГц,3 072,24,550 Вт,2 слота,43 мм,Нет,поддержка DLSS,115 Вт,,,,,,
Видеокарта ASRock Radeon RX 6750 GRE Challenger 10GB OC RX6750GRE CL 10GO,10 ГБ,GDDR6,16 000 МГц,320 ГБ/с,160 бит,12 Ultimate,,8 pin,воздушное,2,269 мм,130 мм,1 941 МГц,2 495 МГц,2 304,36,650 Вт,2 слота,41 мм,Нет,поддержка FSR,170 Вт,,,,,,
Видеокарта NVIDIA RTX A4000 16GB GDDR6 699-5G190-0510-700R,16 ГБ,GDDR6,,448 ГБ/с,256 бит,12,Да (NVLink),6 pin,воздушное,1,241 мм,112 мм,,,6 144,48,,1 слот,,,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта PowerColor Fighter Radeon RX 6700 10GB GDDR6 10GBD6-3DH/OC,10 ГБ,GDDR6,16 000 МГц,320 ГБ/с,160 бит,12 Ultimate,Нет,6+8 pin,воздушное,2,228 мм,109 мм,1 941 МГц,2 495 МГц (в режиме Boost),2 304,36,650 Вт,2 слота,32 мм,Нет,поддержка FSR,,,,,,,
Видеокарта ASUS Dual GeForce RTX 3050 OC Edition 6GB DUAL-RTX3050-O6G,6 ГБ,GDDR6,14 000 МГц,224 ГБ/с,96 бит,12 Ultimate,,8 pin,воздушное,2,201 мм,120 мм,1 507 МГц,1 537 МГц,2 304,20,450 Вт,2 слота,37 мм,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Gigabyte GeForce GTX 1650 D6 OC 4G 4GB GDDR6 GV-N1656OC-4GD (rev. 4.0),4 ГБ,GDDR6,12 000 МГц,192 ГБ/с,128 бит,12,,8 pin,воздушное,1,170 мм,121.3 мм,1 410 МГц,1 620 МГц,896,,300 Вт,2 слота,36.4 мм,Нет,поддержка FSR,,,,,,,
Видеокарта AFOX GeForce RTX 3050 8GB GDDR6 AF3050-8GD6H5,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,,6 pin,воздушное,2,,,1 550 МГц,1 777 МГц,2 560,20,500 Вт,2 слота,,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта PNY RTX 5000 Ada Generation 32GB GDDR6 VCNRTX5000ADA-PB,32 ГБ,GDDR6,18 000 МГц,576 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,1,266.7 мм,111.8 мм,1 155 МГц,2 550 МГц,12 800,100,,2 слота,,Нет,,250 Вт,,,,,,
Видеокарта Colorful iGame GeForce RTX 4080 16GB Advanced OC-V,16 ГБ,GDDR6X,22 400 МГц,717 ГБ/с,256 бит,12 Ultimate,Нет,16 pin,воздушное,3,343.8 мм,147.6 мм,2 210 МГц,2 625 МГц,9 728,76,850 Вт,,70.5 мм,Нет,поддержка DLSS,370 Вт,,,,,,
Видеокарта MSI GeForce GTX 1650 D6 VENTUS XS OCV3,4 ГБ,GDDR6,12 000 МГц,192 ГБ/с,128 бит,12,,6 pin,воздушное,2,179 мм,112 мм,1 410 МГц,1 620 МГц,896,,300 Вт,2 слота,42 мм,Нет,поддержка FSR,,,,,,,
Видеокарта MSI GeForce RTX 4070 Ti Ventus 3X E1 12G,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,308 мм,120 мм,2 310 МГц,2 625 МГц,7 680,60,700 Вт,2.6 слота,52 мм,Нет,поддержка DLSS,285 Вт,,,,,,
Видеокарта AFOX GeForce GT 1030 2GB GDDR5 AF1030-2048D5L5-V4,2 ГБ,GDDR5,6 000 МГц,,64 бит,12,,Нет,воздушное,1,170 мм,,1 227 МГц,,384,,300 Вт,1 слот,,Да,,,,,,,,
Видеокарта AFOX GeForce GT 610 2GB DDR3 AF610-2048D3L7-V6,2 ГБ,DDR3,1 000 МГц,14.4 ГБ/с,64 бит,12,Нет,Нет,активное,1,155 мм,,,,48,,300 Вт,1 слот,,,,,810 МГц,,,,,
Видеокарта Maxsun GeForce RTX­­ 4070 iCraft OC 12G,12 ГБ,GDDR6X,21 000 МГц,504.2 ГБ/с,192 бит,12 Ultimate,,8+8 pin,воздушное,3,317 мм,132 мм,1 920 МГц,2 535 МГц,5 888,46,650 Вт,3 слота,46 мм,Нет,поддержка DLSS,200 Вт,,,,,,
Видеокарта ZOTAC GeForce GT 710 2GB ZT-71310-10L,2 ГБ,DDR3,1 600 МГц,,64 бит,12,Нет,Нет,воздушное,1,157 мм,111.15 мм,954 МГц,,192,,300 Вт,1 слот,16 мм,Да,,19 Вт,,,,,,
Видеокарта NVIDIA Quadro T400 4GB GDDR6 699-5G172-0525-500,4 ГБ,GDDR6,,80 ГБ/с,64 бит,12,,Нет,воздушное,1,156 мм,68.9 мм,,,384,,,1 слот,20 мм,Да,,,,,,,,
Видеокарта PNY RTX 4000 Ada Generation 20GB GDDR6 VCNRTX4000ADA-PB,20 ГБ,GDDR6,14 000 МГц,360 ГБ/с,160 бит,12 Ultimate,,6 pin,воздушное,1,241.3 мм,111.8 мм,,,6 144,48,,1 слот,,,поддержка DLSS,130 Вт,,,,,,
Видеокарта Palit Nvidia CMP 30HX NE630HX017J9-1160X,6 ГБ,GDDR6,14 000 МГц,336 ГБ/с,192 бит,,,8 pin,воздушное,2,236 мм,,1 785 МГц,,,,450 Вт,2 слота,,Нет,,125 Вт,,,,,,
Видеокарта Sinotex Ninja Radeon R9 370 4GB GDDR5 AHR937045F,4 ГБ,GDDR5,5 400 МГц,,256 бит,12 Ultimate,,6 pin,воздушное,2,,,860 МГц,,1 024,,,2 слота,,,,,,,,,,
Видеокарта ASUS TUF Gaming GeForce RTX 4070 Ti Super 16GB GDDR6X White OC Edition TUF-RTX4070TIS-O16G-WHITE-GAMING,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,305 мм,138 мм,2 340 МГц,2 670 МГц,8 448,66,750 Вт,3.25 слота,65 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта ASUS GeForce GT 730 2GB GDDR5 GT730-SL-2GD5-BRK-E,2 ГБ,GDDR5,5 010 МГц,,64 бит,11.2,Нет,Нет,пассивное,,167 мм,69 мм,,732 МГц,384,,300 Вт,1 слот,,Да,,,,,,,,
Видеокарта NVIDIA Tesla L4 24GB 900-2G193-0000-000,24 ГБ,GDDR6,,300.1 ГБ/с,192 бит,12 Ultimate,,16 pin (PCIe Gen5),пассивное,,169 мм,56 мм,795 МГц,2 040 МГц,7 680,60,250 Вт,1 слот,,Да,поддержка DLSS,72 Вт,,,,,,
Видеокарта NVIDIA Tesla T4 16GB GDDR6 900-2G183-6300-T00,16 ГБ,GDDR6,,320 ГБ/с,256 бит,12,,Нет,пассивное,,169.53 мм,68.9 мм,,1 590 МГц,2 560,,,,,Нет,,,,,,,,
Видеокарта Gigabyte Radeon RX 7900 GRE Gaming OC 16G GV-R79GREGAMING OC-16GD,16 ГБ,GDDR6,18 000 МГц,576 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,3,302 мм,130 мм,1 287 МГц,2 391 МГц,5 120,80,700 Вт,3 слота,56 мм,Нет,поддержка FSR,265 Вт,,,,,,
Видеокарта Gigabyte Radeon RX 6400 D6 Low Profile GV-R64D6-4GL,4 ГБ,GDDR6,16 000 МГц,128 ГБ/с,64 бит,12 Ultimate,Нет,Нет,воздушное,2,182 мм,69 мм,1 923 МГц,2 321 МГц,768,12,350 Вт,2 слота,36 мм,Да,поддержка FSR,,,,,,,
Видеокарта ZOTAC GeForce RTX 4060 8GB Twin Edge OC ZT-D40600H-10M,8 ГБ,GDDR6,17 000 МГц,272 ГБ/с,128 бит,12 Ultimate,,8 pin,воздушное,2,221.4 мм,122.7 мм,1 830 МГц,2 475 МГц,3 072,24,500 Вт,2 слота,43.1 мм,Нет,поддержка DLSS,115 Вт,,,,,,
Inno3D GeForce RTX 3070 Ti X3 OC 8GB GDDR6X N307T3-086XX-1820VA45,8 ГБ,GDDR6X,19 000 МГц,912 ГБ/с,256 бит,12 Ultimate,Нет,8+8 pin,активное,3,300 мм,112 мм,1 580 МГц,1 785 МГц,6 144,,750 Вт,2 слота,,Нет,,,,,,,,
Видеокарта AFOX GeForce GT 1030 2GB GDDR5 AF1030-2048D5L5,2 ГБ,GDDR5,,,64 бит,12,Нет,Нет,активное,1,170 мм,,,,384,,300 Вт,1 слот,,Да,,,1 227 МГц,1 500 МГц,,1 468 МГц,,
Видеокарта PNY Nvidia T1000 4GB GDDR6 VCNT1000-PB,4 ГБ,GDDR6,,160 ГБ/с,128 бит,12,Нет,Нет,активное,1,,,,,896,,,1 слот,,Да,,,,,,,,
Видеокарта ASUS TUF Gaming Radeon RX 7800 XT OG OC Edition 16GB GDDR6 TUF-RX7800XT-O16G-OG-GAMING,16 ГБ,GDDR6,19 500 МГц,624.1 ГБ/с,256 бит,12 Ultimate,,8+8 pin,воздушное,3,320 мм,140.2 мм,1 295 МГц,2 565 МГц,3 840,60,750 Вт,2.9 слота,57.8 мм,Нет,поддержка FSR,,,,,,,
Видеокарта AFOX R7 350 2GB GDDR5 AFR7350-2048D5H4,2 ГБ,GDDR5,1 600 МГц,,128 бит,12,Нет,Нет,активное,1,185 мм,,800 МГц,,384,,400 Вт,2 слота,,Нет,,,,,,,,
Видеокарта Colorful GeForce GT 1030 2G V3-V,2 ГБ,GDDR5,6 000 МГц,,64 бит,12,Нет,Нет,активное,1,,,1 228 МГц,,384,,,1 слот,,,,,,,,,,
Видеокарта AFOX Radeon R5 220 2GB GDDR3 AFR5220-2048D3L5,2 ГБ,GDDR3,1 333 МГц,,64 бит,11.2,Нет,Нет,активное,1,145 мм,,650 МГц,,160,,400 Вт,1 слот,,Да,,,,,,,,
Видеокарта Gainward GeForce RTX 4080 Super Phoenix GS NED408ST19T2-1032X,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,328.9 мм,131.1 мм,2 210 МГц,2 610 МГц,10 240,80,850 Вт,3.1 слота,63.6 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта AFOX GeForce RTX 3050 AF3050-8GD6H2,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,2,,,1 550 МГц,1 750 МГц,2 560,20,550 Вт,2 слота,,Нет,"поддержка DLSS, поддержка FSR",,,,,,,
Видеокарта Gainward GeForce RTX 4080 Super Phoenix NED408S019T2-1032X,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,328.9 мм,131.1 мм,2 210 МГц,2 550 МГц,10 240,80,850 Вт,3.1 слота,63.6 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта AFOX GeForce GT 610 1GB GDDR3 AF610-1024D3L7-V6,1 ГБ,GDDR3,,,64 бит,12,,Нет,воздушное,1,149 мм,,810 МГц,,48,,300 Вт,1 слот,,,,25 Вт,,,,,,
Видеокарта PNY Nvidia T400 4GB VCNT400-4GB-BLK,4 ГБ,GDDR6,,80 ГБ/с,64 бит,12,Нет,Нет,активное,1,,,,,384,,,1 слот,,Да,,,,,,,,
Видеокарта Palit GeForce RTX 4080 GamingPro OC NED4080T19T2-1032A,16 ГБ,GDDR6,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,Нет,16 pin,воздушное,3,328.9 мм,132.9 мм,2 210 МГц,2 610 МГц,9 728,76,850 Вт,3 слота,,Нет,поддержка DLSS,,,,,,,320 Вт
Видеокарта Gigabyte Radeon RX 6650 XT Eagle 8G GV-R665XTEAGLE-8GD,8 ГБ,GDDR6,17 500 МГц,280 ГБ/с,128 бит,12 Ultimate,Нет,8 pin,воздушное,3,282 мм,113 мм,2 055 МГц,2 635 МГц,2 048,,500 Вт,2 слота,,Нет,,,,,,,,
Видеокарта ZOTAC GeForce RTX 3060 Twin Edge OC 12GB GDDR6 ZT-A30600H-10M,12 ГБ,GDDR6,15 000 МГц,360 ГБ/с,192 бит,12 Ultimate,Нет,8 pin,активное,2,224.1 мм,116.3 мм,1 320 МГц,1 807 МГц (OC Mode),3 584,,600 Вт,2 слота,,,,,,,,,,
Видеокарта MSI GeForce RTX 3050 Aero ITX 8G V1,8 ГБ,GDDR6,14 000 МГц,224 ГБ/с,128 бит,12 Ultimate,Нет,6 pin,воздушное,1,168 мм,111 мм,1 550 МГц,1 777 МГц,2 560,20,500 Вт,2 слота,42 мм,Нет,"поддержка DLSS, поддержка FSR",115 Вт,,,,,,
Видеокарта Gainward GeForce RTX 4080 Super Panther OC NED408SS19T2-1032Z,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,328.9 мм,128 мм,2 210 МГц,2 580 МГц,10 240,80,850 Вт,3.1 слота,63.5 мм,Нет,поддержка DLSS,320 Вт,,,,,,
Видеокарта Gigabyte GeForce RTX 4070 Ti Super Master 16G GV-N407TSAORUS M-16GD,16 ГБ,GDDR6X,22 400 МГц,716.8 ГБ/с,256 бит,12 Ultimate,,16 pin (PCIe Gen5),воздушное,3,342 мм,153 мм,2 340 МГц,2 670 МГц,8 448,66,750 Вт,3.5 слота,70.6 мм,Нет,поддержка DLSS,,,,,,,
Видеокарта PNY Quadro P1000 4GB GDDR5 VCQP1000-BLS,4 ГБ,GDDR5,,,128 бит,12,Да,Нет,активное,1,144.78 мм,68.9 мм,,,640,,,1 слот,,Да,,,1 265 МГц,1 253 МГц,,1 359 МГц,,
Видеокарта MSI GeForce GT 1030 LP OC 2GB GDDR5 [GT 1030 2G LP OC],2 Гб,GDDR5,,,64 бит,12,Нет,,активное,1,159 мм,69 мм,,,384,,,,,Да,,,1 265 МГц,1 502 МГц,300 Вт,1 518 МГц,,
Видеокарта PNY RTX A2000 12GB VCNRTXA2000-12GB-PB,12 ГБ,GDDR6,,288 ГБ/с,192 бит,12,Нет,Нет,воздушное,1,168 мм,69 мм,,,3 328,,,2 слота,,Да,,,,,,,,
